"Name","K","Kin","Kout","TypeI","TypeII","Type"
"SNIP1",38,33,5,0,1,"coding"
"TUBB2A",31,29,2,0,1,"coding"
"FRS2",82,75,7,0,1,"coding"
"IRS2",37,30,7,0,1,"coding"
"CRKL",62,42,20,0,1,"coding"
"GAB2",13,8,5,0,1,"coding"
"TGFB1I1",23,22,1,0,1,"coding"
"PPP1R8",17,10,7,0,1,"coding"
"CSF1",26,23,3,0,1,"coding"
"INPP5D",19,9,10,0,1,"coding"
"FES",12,8,4,0,1,"coding"
"HNRNPK",38,28,10,0,1,"coding"
"HDAC3",24,19,5,0,1,"coding"
"ERCC8",8,6,2,0,1,"coding"
"POLR2B",16,15,1,0,1,"coding"
"SNRNP70",19,14,5,0,1,"coding"
"CTGF",43,41,2,0,1,"coding"
"NOV",15,10,5,0,1,"coding"
"RUVBL1",11,10,1,0,1,"coding"
