"","gene","p","fdr"
"DPYSL5","DPYSL5",1,1
"SLC3A1","SLC3A1",1,1
"TGM6","TGM6",1,1
"PLCH1","PLCH1",0.000281507310277085,0.0292721026080552
"TBC1D5","TBC1D5",1,1
"PDCD6IP","PDCD6IP",1,1
"SMARCA5","SMARCA5",1,1
"C6","C6",1,1
"ZBTB24","ZBTB24",1,1
"NEDD9","NEDD9",0.00841440014153443,0.11998177846355
"CD109","CD109",1,1
"TMEM106B","TMEM106B",1,1
"NCBP1","NCBP1",1,1
"CNTLN","CNTLN",1,1
"MID1","MID1",1,1
"ZFYVE26","ZFYVE26",1,1
"FLII","FLII",1,1
"MEX3C","MEX3C",1,1
"PDE1A","PDE1A",1,1
"CHRD","CHRD",1,1
"SLC4A4","SLC4A4",1,1
"CAPN2","CAPN2",0.0312584148416259,0.231277538255986
"INPP5B","INPP5B",1,1
"PYGM","PYGM",1,1
"CCDC87","CCDC87",0.0157055760156226,0.157742731052837
"CYB5R2","CYB5R2",1,1
"UTP20","UTP20",0.017582707666053,0.167261786211781
"PFKM","PFKM",1,1
"APOBEC1","APOBEC1",0.00461682170633374,0.0981929906435717
"SLITRK6","SLITRK6",1,1
"CD226","CD226",1,1
"ZNF235","ZNF235",1,1
"PTPRS","PTPRS",1,1
"ZNF600","ZNF600",1,1
"SPHKAP","SPHKAP",1,1
"CAMKV","CAMKV",0.00359966855279867,0.0878029043702796
"ARAP3","ARAP3",1,1
"PHACTR1","PHACTR1",0.017665378147312,0.167427411450798
"SGK1","SGK1",1,1
"ANKS1A","ANKS1A",1,1
"TMEM209","TMEM209",1,1
"CACNA1B","CACNA1B",1,1
"NXF5","NXF5",1,1
"UTP14A","UTP14A",9.42614050214586e-06,0.00515670475968559
"ATP11C","ATP11C",1,1
"GABRQ","GABRQ",1,1
"PDE11A","PDE11A",0.0350247488034408,0.243964228328569
"ENPP3","ENPP3",1,1
"APTX","APTX",1,1
"PBXIP1","PBXIP1",1,1
"POLR1D","POLR1D",1,1
"PSMB6","PSMB6",1,1
"NCL","NCL",1,1
"DLG1","DLG1",0.0218822246296131,0.187194919313774
"LARS2","LARS2",1,1
"CENPE","CENPE",1,1
"STXBP5","STXBP5",1,1
"NOL6","NOL6",1,1
"FAM122B","FAM122B",1,1
"SLC9A6","SLC9A6",0.0151462447789548,0.154520010799496
"CRNN","CRNN",1,1
"BTF3L4","BTF3L4",1,1
"FGFR2","FGFR2",0.00392591755134809,0.0889206971919284
"TBX3","TBX3",1,1
"YAF2","YAF2",1,1
"KRT2","KRT2",1,1
"ATP11A","ATP11A",1,1
"ATG14","ATG14",0.0266921761955831,0.209147364915375
"CCDC33","CCDC33",1,1
"CLN3","CLN3",1,1
"DOT1L","DOT1L",1,1
"KLK2","KLK2",1,1
"PTPN4","PTPN4",1,1
"MYT1","MYT1",1,1
"TCF20","TCF20",0.0131588252501214,0.147344030620221
"NCK1","NCK1",0.0153514721756793,0.155357831638067
"SLC9A9","SLC9A9",1,1
"IGF2BP2","IGF2BP2",1,1
"CDH9","CDH9",1,1
"CADPS2","CADPS2",1,1
"CCZ1","CCZ1",1,1
"SSX7","SSX7",1,1
"ZXDA","ZXDA",1,1
"ARHGEF11","ARHGEF11",1,1
"CAMSAP2","CAMSAP2",0.0113692424509854,0.136762079033427
"PABPC4","PABPC4",1,1
"PTPRF","PTPRF",1,1
"TRPM5","TRPM5",1,1
"SCYL2","SCYL2",0.0321318297593445,0.234696057931526
"GAS2L3","GAS2L3",1,1
"MYO1E","MYO1E",1,1
"USP7","USP7",1,1
"KSR1","KSR1",1,1
"LIG3","LIG3",0.0371061237117864,0.251362846181877
"FN1","FN1",1,1
"TNS1","TNS1",0.0124719198479697,0.143686010843651
"EML4","EML4",1,1
"ARID5A","ARID5A",1,1
"EIF5B","EIF5B",0.0210322610752632,0.185911119166818
"KIF4B","KIF4B",1,1
"FGFR4","FGFR4",1,1
"TARS","TARS",1,1
"TNPO1","TNPO1",1,1
"ELOVL5","ELOVL5",1,1
"CCNC","CCNC",1,1
"PRUNE2","PRUNE2",1,1
"BCORL1","BCORL1",1,1
"PLXNC1","PLXNC1",1,1
"NQO1","NQO1",1,1
"TMCC1","TMCC1",1,1
"FAM160A2","FAM160A2",1,1
"FMNL3","FMNL3",1,1
"HERC1","HERC1",0.000948473761938053,0.048583744467273
"ZNF142","ZNF142",1,1
"BNC1","BNC1",1,1
"ALPK2","ALPK2",1,1
"IL27RA","IL27RA",1,1
"AP1B1","AP1B1",1,1
"GPR125","GPR125",1,1
"SEL1L3","SEL1L3",1,1
"P2RY4","P2RY4",1,1
"VCAM1","VCAM1",1,1
"LY9","LY9",1,1
"ALDH9A1","ALDH9A1",1,1
"HMCN1","HMCN1",1,1
"IPO9","IPO9",1,1
"LIN9","LIN9",1,1
"DISC1","DISC1",1,1
"TRIM58","TRIM58",1,1
"ERCC6","ERCC6",0.036619133564774,0.250139413911084
"NRG3","NRG3",1,1
"LRIT1","LRIT1",1,1
"DRD2","DRD2",1,1
"TMEM132A","TMEM132A",1,1
"OVCH1","OVCH1",1,1
"NYNRIN","NYNRIN",1,1
"FBN1","FBN1",1,1
"TPM1","TPM1",0.00114954073646083,0.0542893032914376
"SV2B","SV2B",1,1
"SNX29","SNX29",0.000882644814129354,0.0466870481904318
"ZSCAN10","ZSCAN10",0.00689041058311822,0.112283963408964
"PNPO","PNPO",1,1
"CDH20","CDH20",1,1
"EMR3","EMR3",1,1
"SIGLEC11","SIGLEC11",1,1
"KLK3","KLK3",1,1
"GRAP2","GRAP2",1,1
"ZNF454","ZNF454",1,1
"SAMD9L","SAMD9L",1,1
"FZD6","FZD6",0.0262752695333365,0.207872882853526
"CHRM3","CHRM3",1,1
"MRPL11","MRPL11",1,1
"PRICKLE1","PRICKLE1",1,1
"PRTG","PRTG",1,1
"HNF1B","HNF1B",1,1
"BCAS1","BCAS1",1,1
"GRIK2","GRIK2",1,1
"KCNB2","KCNB2",1,1
"CUX2","CUX2",1,1
"TSC22D1","TSC22D1",0.0117448982870262,0.13916241582439
"NFATC4","NFATC4",1,1
"BAHD1","BAHD1",0.0250749111174949,0.202884365894773
"NMT1","NMT1",0.00379516575612132,0.0886592768031163
"SRP68","SRP68",1,1
"ZFYVE28","ZFYVE28",1,1
"MAGED2","MAGED2",1,1
"MAGI3","MAGI3",1,1
"NHLRC2","NHLRC2",1,1
"MTUS2","MTUS2",0.000207158342117725,0.0250981609428037
"C2CD2","C2CD2",1,1
"FILIP1L","FILIP1L",1,1
"TRMT10A","TRMT10A",1,1
"HIST1H2AA","HIST1H2AA",1,1
"TNFRSF21","TNFRSF21",0.0367377979622177,0.250139413911084
"KCNH2","KCNH2",0.00390074521556298,0.0889206971919284
"HEPH","HEPH",1,1
"PHACTR4","PHACTR4",1,1
"ZC3H13","ZC3H13",1,1
"ERN2","ERN2",1,1
"NLGN2","NLGN2",1,1
"S1PR4","S1PR4",1,1
"RASGRP4","RASGRP4",1,1
"SLC12A9","SLC12A9",1,1
"POLR3C","POLR3C",1,1
"S100A7A","S100A7A",1,1
"CASQ1","CASQ1",1,1
"CD244","CD244",1,1
"ATF6","ATF6",1,1
"TCEA3","TCEA3",1,1
"GJB3","GJB3",0.0391012469666917,0.258052728990288
"SLC6A9","SLC6A9",1,1
"CCBL2","CCBL2",1,1
"RPAP2","RPAP2",0.00581432429910028,0.107382398236499
"SHANK2","SHANK2",1,1
"PRB2","PRB2",1,1
"RARG","RARG",1,1
"AVIL","AVIL",1,1
"PCID2","PCID2",1,1
"ATP12A","ATP12A",1,1
"MYH7","MYH7",1,1
"ADCY4","ADCY4",1,1
"ERO1L","ERO1L",1,1
"PSMC6","PSMC6",1,1
"ALDH1A3","ALDH1A3",0.00699739698104543,0.112405268323467
"NOMO2","NOMO2",1,1
"SPN","SPN",1,1
"DOK4","DOK4",0.0223808282446926,0.18841205471733
"TERF2IP","TERF2IP",1,1
"NLE1","NLE1",1,1
"KAT7","KAT7",1,1
"TYK2","TYK2",0.0197771753112557,0.180405767668016
"ARPC2","ARPC2",1,1
"ITSN2","ITSN2",0.00308110019525828,0.0828637825515804
"TMEM127","TMEM127",1,1
"HSPA13","HSPA13",1,1
"GSTT1","GSTT1",1,1
"CCDC14","CCDC14",1,1
"XRN1","XRN1",1,1
"PDE5A","PDE5A",0.015546289424593,0.157090654443649
"KIAA1109","KIAA1109",1,1
"SEC31A","SEC31A",0.00154742697701467,0.0617024924547347
"GPRC6A","GPRC6A",1,1
"TAAR6","TAAR6",1,1
"CITED2","CITED2",1,1
"TIAM2","TIAM2",1,1
"TREML2","TREML2",1,1
"SLC35B2","SLC35B2",1,1
"KIAA1549","KIAA1549",1,1
"STARD3NL","STARD3NL",0.0212461935033911,0.185911119166818
"APBA1","APBA1",1,1
"SMC5","SMC5",1,1
"BICD2","BICD2",1,1
"FOXO4","FOXO4",0.0300312040447066,0.225200211411826
"CD1D","CD1D",1,1
"LDB1","LDB1",1,1
"ROBO3","ROBO3",1,1
"ATF7IP","ATF7IP",1,1
"MYL6","MYL6",1,1
"FUS","FUS",0.0290468485058051,0.220802470548124
"MYH3","MYH3",1,1
"PRKAR1A","PRKAR1A",1,1
"EGF","EGF",1,1
"PPP2CA","PPP2CA",1,1
"GDI1","GDI1",1,1
"SLCO1B3","SLCO1B3",1,1
"TRAK2","TRAK2",1,1
"DOPEY2","DOPEY2",1,1
"ACSL6","ACSL6",1,1
"BRIX1","BRIX1",1,1
"RRAGD","RRAGD",0.0367741495444173,0.250139413911084
"FAM91A1","FAM91A1",1,1
"OR1K1","OR1K1",1,1
"PRPF38B","PRPF38B",0.0302904482279937,0.226379455387441
"RSBN1","RSBN1",1,1
"PRAMEF10","PRAMEF10",1,1
"ZRANB2","ZRANB2",1,1
"SGMS1","SGMS1",1,1
"NCAM1","NCAM1",1,1
"POU2F3","POU2F3",1,1
"B3GAT1","B3GAT1",1,1
"KRT79","KRT79",1,1
"PHLDA1","PHLDA1",1,1
"PYGL","PYGL",0.032344228307837,0.235131240504243
"TRAP1","TRAP1",0.00355037434254349,0.0878029043702796
"PHKB","PHKB",1,1
"ANKRD40","ANKRD40",1,1
"FXR2","FXR2",1,1
"LRFN1","LRFN1",1,1
"FPR2","FPR2",1,1
"EFR3B","EFR3B",0.0166893499077843,0.16282160400962
"GSS","GSS",1,1
"SLC12A5","SLC12A5",1,1
"CELSR1","CELSR1",1,1
"MCM2","MCM2",1,1
"KIAA0226","KIAA0226",1,1
"TADA3","TADA3",1,1
"SLC25A4","SLC25A4",0.0222015586585265,0.187852832410582
"RBM47","RBM47",1,1
"PJA2","PJA2",1,1
"WDR36","WDR36",1,1
"PCDHGA7","PCDHGA7",1,1
"JARID2","JARID2",1,1
"XPO5","XPO5",1,1
"MLIP","MLIP",0.0206404387405589,0.184275030971821
"NUP205","NUP205",0.00672839924936005,0.111765509805941
"EEPD1","EEPD1",0.00720220113549419,0.112405268323467
"FKBP6","FKBP6",1,1
"DCAF13","DCAF13",1,1
"TCEA1","TCEA1",1,1
"RALYL","RALYL",1,1
"KIAA0368","KIAA0368",1,1
"PAX5","PAX5",0.00901934410569961,0.122571045713987
"KIF4A","KIF4A",0.0334802848969543,0.237862210437897
"NPHS2","NPHS2",1,1
"CDK4","CDK4",1,1
"SIN3B","SIN3B",1,1
"ZNF676","ZNF676",1,1
"ERCC2","ERCC2",1,1
"ZNF615","ZNF615",1,1
"TSGA10","TSGA10",1,1
"PRPF6","PRPF6",1,1
"SDE2","SDE2",1,1
"JAK1","JAK1",1,1
"PDZD8","PDZD8",1,1
"HAUS8","HAUS8",1,1
"HADHB","HADHB",1,1
"ZNF639","ZNF639",1,1
"CTNND2","CTNND2",0.000484955211295556,0.0367125585503978
"OPHN1","OPHN1",1,1
"SVIL","SVIL",0.000375575580708651,0.0320635614351142
"RPP30","RPP30",1,1
"PDS5B","PDS5B",0.0480137468998714,0.293993729719134
"POLE2","POLE2",1,1
"COX6C","COX6C",0.0185316775104313,0.174297232403901
"RTN4RL2","RTN4RL2",1,1
"NR1H2","NR1H2",1,1
"USP29","USP29",1,1
"USP13","USP13",1,1
"ALPK1","ALPK1",1,1
"RAD17","RAD17",1,1
"HCFC1","HCFC1",1,1
"RS1","RS1",0.0173898154106893,0.166282947266967
"OTUD7B","OTUD7B",1,1
"SZRD1","SZRD1",0.00720949553146253,0.112405268323467
"LONP2","LONP2",1,1
"SEMA5B","SEMA5B",1,1
"OPA1","OPA1",1,1
"DCHS2","DCHS2",1,1
"CRISPLD1","CRISPLD1",1,1
"TRMT112","TRMT112",1,1
"PRKCB","PRKCB",1,1
"VIL1","VIL1",1,1
"CEP68","CEP68",1,1
"ARFGEF2","ARFGEF2",1,1
"ARNT","ARNT",1,1
"ANGEL2","ANGEL2",1,1
"EVI5","EVI5",1,1
"WDR11","WDR11",1,1
"LCOR","LCOR",1,1
"ING4","ING4",1,1
"TPTE2","TPTE2",1,1
"LRRK1","LRRK1",1,1
"UBR1","UBR1",1,1
"TRPM4","TRPM4",1,1
"ZEB2","ZEB2",0.0271300705205563,0.210972287535257
"RAB28","RAB28",1,1
"HSD17B13","HSD17B13",1,1
"DMXL1","DMXL1",1,1
"ZHX2","ZHX2",1,1
"SLC25A14","SLC25A14",1,1
"FHL1","FHL1",1,1
"CDK16","CDK16",0.0401077655073755,0.263130650752329
"TARBP1","TARBP1",1,1
"RGS7","RGS7",1,1
"KTI12","KTI12",1,1
"AGAP6","AGAP6",1,1
"CDH23","CDH23",0.0130809573896536,0.147138674421796
"KCNJ8","KCNJ8",1,1
"ITGB3","ITGB3",1,1
"SMAD2","SMAD2",1,1
"ZNF540","ZNF540",1,1
"ADAMTS10","ADAMTS10",1,1
"WNT7A","WNT7A",1,1
"GPR126","GPR126",1,1
"PSMB8","PSMB8",1,1
"DDHD2","DDHD2",1,1
"KAT6A","KAT6A",1,1
"WWP1","WWP1",1,1
"MUSK","MUSK",1,1
"KCNT1","KCNT1",1,1
"NLGN3","NLGN3",1,1
"SLC26A9","SLC26A9",1,1
"MTF2","MTF2",1,1
"MAPK8","MAPK8",0.00801977900356025,0.117888980981695
"ZWINT","ZWINT",1,1
"INCENP","INCENP",0.0471585091638598,0.290107013265288
"TAS2R19","TAS2R19",1,1
"PPHLN1","PPHLN1",1,1
"AKAP3","AKAP3",1,1
"FAM186B","FAM186B",1,1
"ITGA7","ITGA7",1,1
"GLI1","GLI1",1,1
"PIP4K2C","PIP4K2C",1,1
"PLEKHG6","PLEKHG6",0.00594011739580745,0.107688550778079
"CDCA3","CDCA3",0.0134810990762781,0.148381221072621
"USP5","USP5",1,1
"UTP14C","UTP14C",1,1
"AKT1","AKT1",1,1
"SAMD4A","SAMD4A",1,1
"EXOC5","EXOC5",1,1
"DMXL2","DMXL2",1,1
"PLK1","PLK1",1,1
"SAMHD1","SAMHD1",1,1
"STK4","STK4",1,1
"CHGB","CHGB",1,1
"TBC1D22A","TBC1D22A",1,1
"SMC4","SMC4",1,1
"TRNT1","TRNT1",1,1
"SLAIN2","SLAIN2",1,1
"LIN54","LIN54",1,1
"PCDHB12","PCDHB12",1,1
"LARP1","LARP1",1,1
"ADAMTS12","ADAMTS12",1,1
"ARRDC3","ARRDC3",1,1
"WASF1","WASF1",1,1
"MPP6","MPP6",1,1
"EGFR","EGFR",1,1
"CCT6A","CCT6A",1,1
"KIAA1324L","KIAA1324L",1,1
"CCDC132","CCDC132",1,1
"MYOM2","MYOM2",1,1
"NUGGC","NUGGC",1,1
"MOS","MOS",1,1
"ABL1","ABL1",0.0447674413363099,0.282068975176472
"PTPRD","PTPRD",0.0083523815692395,0.11998177846355
"PRMT6","PRMT6",1,1
"WDR3","WDR3",1,1
"GPBP1L1","GPBP1L1",1,1
"FAM188A","FAM188A",1,1
"IPMK","IPMK",1,1
"OSBP","OSBP",1,1
"RBM14","RBM14",1,1
"LIMA1","LIMA1",0.0197270534819967,0.180195403479583
"TP53BP1","TP53BP1",1,1
"FBXL19","FBXL19",1,1
"N4BP1","N4BP1",1,1
"PRPF8","PRPF8",1,1
"SLC2A4","SLC2A4",1,1
"ZNF443","ZNF443",1,1
"TJP3","TJP3",1,1
"CREB3L3","CREB3L3",1,1
"SCN9A","SCN9A",1,1
"LCA5L","LCA5L",1,1
"KDR","KDR",1,1
"ROS1","ROS1",1,1
"METTL2B","METTL2B",1,1
"VCP","VCP",0.0139357644394527,0.15031699965884
"UBE4B","UBE4B",1,1
"BSN","BSN",1,1
"CSNK1G3","CSNK1G3",1,1
"HIST1H1C","HIST1H1C",1,1
"PRPF4B","PRPF4B",0.0312130409853359,0.231198709589936
"PEF1","PEF1",0.0177687559952998,0.167832831450641
"COL16A1","COL16A1",1,1
"MMP3","MMP3",1,1
"PRMT3","PRMT3",1,1
"OAS3","OAS3",1,1
"NEK5","NEK5",1,1
"SERPINA1","SERPINA1",1,1
"PAPOLA","PAPOLA",1,1
"CLPTM1","CLPTM1",1,1
"PCYT1A","PCYT1A",1,1
"SAMD3","SAMD3",1,1
"NFKBIE","NFKBIE",1,1
"ARPC1A","ARPC1A",1,1
"MCPH1","MCPH1",1,1
"TMEM27","TMEM27",1,1
"AMICA1","AMICA1",1,1
"RNF219","RNF219",1,1
"PLA2G4F","PLA2G4F",0.00666246540928772,0.111765509805941
"MYOM1","MYOM1",0.0146053199719814,0.152461454059574
"NINL","NINL",1,1
"MYNN","MYNN",1,1
"PAPSS1","PAPSS1",1,1
"WBSCR16","WBSCR16",1,1
"LMX1A","LMX1A",1,1
"NFASC","NFASC",1,1
"ARHGAP29","ARHGAP29",0.00891769506084157,0.122443903684916
"KIF20B","KIF20B",1,1
"SLC35F2","SLC35F2",1,1
"TRIM29","TRIM29",1,1
"NAV2","NAV2",1,1
"KRT3","KRT3",1,1
"LGR5","LGR5",1,1
"SUPT16H","SUPT16H",1,1
"SIPA1L1","SIPA1L1",1,1
"CCR7","CCR7",1,1
"GP1BA","GP1BA",0.00352042348711624,0.0878029043702796
"CCNE1","CCNE1",1,1
"MYO1B","MYO1B",0.0219363989609548,0.187194919313774
"HNF4A","HNF4A",1,1
"INPP5J","INPP5J",1,1
"CCDC66","CCDC66",1,1
"AIM1","AIM1",1,1
"CDKAL1","CDKAL1",1,1
"B3GALT4","B3GALT4",1,1
"CDCA7L","CDCA7L",1,1
"IGF2BP3","IGF2BP3",0.0131755353691431,0.147344030620221
"MDH2","MDH2",0.00316990941768634,0.0844337072494934
"LZTS1","LZTS1",1,1
"UBE2Q2","UBE2Q2",1,1
"CLEC4G","CLEC4G",1,1
"ATXN10","ATXN10",1,1
"ITPR1","ITPR1",0.0102116860729134,0.130267466589139
"SP4","SP4",1,1
"TMEM51","TMEM51",1,1
"ZNF460","ZNF460",1,1
"ARHGAP15","ARHGAP15",1,1
"PDE4D","PDE4D",0.00844671414308321,0.119992295253155
"GMPR2","GMPR2",1,1
"OTOP3","OTOP3",1,1
"ZNF576","ZNF576",1,1
"ITSN1","ITSN1",1,1
"ANKRD28","ANKRD28",1,1
"AGGF1","AGGF1",1,1
"NOL8","NOL8",0.0213020249172972,0.185911119166818
"BCL9","BCL9",1,1
"SLC18A2","SLC18A2",1,1
"DCHS1","DCHS1",1,1
"TUBGCP5","TUBGCP5",1,1
"ZNF726","ZNF726",1,1
"DACT3","DACT3",1,1
"SETD2","SETD2",1,1
"IKBKAP","IKBKAP",0.0292958064200182,0.221934897555064
"ATP1A2","ATP1A2",1,1
"KIAA1107","KIAA1107",1,1
"STOX1","STOX1",1,1
"ECD","ECD",0.0269297237901548,0.209982471567495
"MYOF","MYOF",1,1
"DHX37","DHX37",1,1
"NAB2","NAB2",1,1
"NUPL1","NUPL1",1,1
"ZNF770","ZNF770",1,1
"RPAP1","RPAP1",0.000685449868806236,0.041465420581988
"GSPT1","GSPT1",1,1
"FANCA","FANCA",1,1
"RAD51C","RAD51C",0.0161352945660782,0.160126567087206
"LLGL2","LLGL2",1,1
"AOX1","AOX1",1,1
"KANSL3","KANSL3",1,1
"BACE2","BACE2",1,1
"DCLK3","DCLK3",1,1
"GUF1","GUF1",1,1
"LNX1","LNX1",1,1
"PTPN13","PTPN13",0.0353228492934705,0.245270962925151
"FRS3","FRS3",1,1
"GUSB","GUSB",1,1
"NCF1","NCF1",1,1
"ASAP1","ASAP1",0.0211955430778484,0.185911119166818
"BRF2","BRF2",1,1
"RNF20","RNF20",1,1
"NUP214","NUP214",0.00589528896053696,0.107382398236499
"HAUS6","HAUS6",1,1
"UBFD1","UBFD1",1,1
"ZNF48","ZNF48",1,1
"NEDD4L","NEDD4L",1,1
"SEPT2","SEPT2",0.00387588205246257,0.0889206971919284
"PMEPA1","PMEPA1",1,1
"CAPN7","CAPN7",1,1
"FUBP3","FUBP3",1,1
"KIAA0907","KIAA0907",1,1
"CCDC63","CCDC63",1,1
"MAP3K9","MAP3K9",1,1
"KIAA0556","KIAA0556",1,1
"EPG5","EPG5",1,1
"SESTD1","SESTD1",1,1
"TRIP12","TRIP12",0.00215801589596682,0.0760329515938786
"PARD6B","PARD6B",1,1
"SLC35A5","SLC35A5",1,1
"NKTR","NKTR",0.00564401604165062,0.107382398236499
"FNIP2","FNIP2",1,1
"WWC2","WWC2",1,1
"RUFY1","RUFY1",1,1
"EPB41L2","EPB41L2",1,1
"EFR3A","EFR3A",1,1
"ZNF7","ZNF7",1,1
"WHSC1L1","WHSC1L1",1,1
"SH2D2A","SH2D2A",1,1
"KLHL12","KLHL12",1,1
"EPHA8","EPHA8",1,1
"AUNIP","AUNIP",1,1
"KIF2C","KIF2C",0.0115473445649379,0.137714952008662
"PODN","PODN",1,1
"CEP57","CEP57",1,1
"RBM26","RBM26",0.0152110049362065,0.154607059619343
"PKP4","PKP4",0.00096697583904531,0.0491533749023108
"ATP13A4","ATP13A4",1,1
"SENP5","SENP5",1,1
"ARPP21","ARPP21",1,1
"SETMAR","SETMAR",1,1
"UBA3","UBA3",1,1
"CDK7","CDK7",1,1
"PTBP3","PTBP3",1,1
"NUP188","NUP188",1,1
"PGK1","PGK1",0.0198328025043753,0.180418896006332
"HECTD3","HECTD3",1,1
"SPATA6","SPATA6",0.0457942211459436,0.285795425127309
"ZNF644","ZNF644",0.00725643549372733,0.112405268323467
"CTNNA3","CTNNA3",1,1
"CCDC67","CCDC67",1,1
"FAM124A","FAM124A",1,1
"PELI2","PELI2",1,1
"CD37","CD37",1,1
"COL4A3","COL4A3",1,1
"TRPM8","TRPM8",0.0464555486620631,0.288033052644952
"MSH2","MSH2",1,1
"STAMBP","STAMBP",1,1
"EAF2","EAF2",1,1
"DNAJC13","DNAJC13",0.00107186345568163,0.0524819025837059
"MAD2L1","MAD2L1",1,1
"BEND4","BEND4",1,1
"GABRB1","GABRB1",0.0141084426379105,0.15031699965884
"NUDCD2","NUDCD2",0.0111719957826117,0.135508781047209
"HIST1H2AE","HIST1H2AE",1,1
"AARS2","AARS2",0.0334544757925765,0.237862210437897
"FSCN3","FSCN3",1,1
"WAS","WAS",1,1
"IARS2","IARS2",1,1
"AIM1L","AIM1L",1,1
"TGFBR3","TGFBR3",1,1
"KCNJ2","KCNJ2",1,1
"RPRD1B","RPRD1B",1,1
"STAU1","STAU1",0.00280242985098079,0.0807851964401779
"SGCD","SGCD",1,1
"SERPINB1","SERPINB1",1,1
"SND1","SND1",1,1
"NUB1","NUB1",1,1
"JPH1","JPH1",1,1
"RUSC2","RUSC2",1,1
"PGAM4","PGAM4",1,1
"TTC4","TTC4",1,1
"COL4A2","COL4A2",0.0176603363680199,0.167427411450798
"CSNK2A2","CSNK2A2",0.00877540611630457,0.121422795932808
"ATAD5","ATAD5",1,1
"GNAS","GNAS",1,1
"PLCXD2","PLCXD2",1,1
"KIAA1429","KIAA1429",0.00587266934618373,0.107382398236499
"SNRNP35","SNRNP35",1,1
"PFDN6","PFDN6",1,1
"DSTYK","DSTYK",1,1
"CRTAC1","CRTAC1",1,1
"BRMS1","BRMS1",0.00172126706997742,0.0658730886148253
"POLE","POLE",1,1
"RHNO1","RHNO1",1,1
"ATP8B4","ATP8B4",1,1
"PLCG2","PLCG2",0.0248616428868279,0.201648818493772
"FN3KRP","FN3KRP",1,1
"GALR1","GALR1",1,1
"SYMPK","SYMPK",1,1
"TNFAIP6","TNFAIP6",1,1
"PLEKHH2","PLEKHH2",1,1
"TMEM131","TMEM131",1,1
"RBM12","RBM12",1,1
"GFM1","GFM1",1,1
"KLC4","KLC4",0.013848455253726,0.149890544175624
"PIR","PIR",1,1
"SCNM1","SCNM1",1,1
"KIF18A","KIF18A",1,1
"PPP2R5B","PPP2R5B",1,1
"NOP2","NOP2",0.00647738346849258,0.111454512963029
"PRMT5","PRMT5",1,1
"SCFD1","SCFD1",1,1
"PNN","PNN",1,1
"VPS18","VPS18",1,1
"RGS9","RGS9",1,1
"MAP4K4","MAP4K4",1,1
"GPR155","GPR155",1,1
"MYLK2","MYLK2",1,1
"ADAMTS1","ADAMTS1",1,1
"ZBTB5","ZBTB5",1,1
"GPR112","GPR112",1,1
"SYCP1","SYCP1",1,1
"MUTYH","MUTYH",1,1
"PPP1R1A","PPP1R1A",1,1
"ZNF675","ZNF675",1,1
"TSHZ3","TSHZ3",1,1
"HCK","HCK",1,1
"BTNL2","BTNL2",1,1
"APEX1","APEX1",1,1
"IMP4","IMP4",1,1
"PDCD1","PDCD1",1,1
"SUSD5","SUSD5",1,1
"GABRG2","GABRG2",1,1
"AP3B1","AP3B1",0.0382543285008995,0.256015651746221
"MAGED1","MAGED1",1,1
"ESR2","ESR2",1,1
"UGGT1","UGGT1",1,1
"BACE1","BACE1",1,1
"LPXN","LPXN",1,1
"NBEA","NBEA",1,1
"RPL26","RPL26",1,1
"TMEM87B","TMEM87B",1,1
"MGAT5","MGAT5",1,1
"ITCH","ITCH",1,1
"MYH9","MYH9",1,1
"DVL3","DVL3",0.0366210930708935,0.250139413911084
"ZNF800","ZNF800",1,1
"FBXO43","FBXO43",0.00304098086644128,0.0828637825515804
"PABPC1","PABPC1",1,1
"COL24A1","COL24A1",1,1
"ZMYND11","ZMYND11",1,1
"FRA10AC1","FRA10AC1",0.0167307352963224,0.162880067745922
"PARVA","PARVA",1,1
"ST5","ST5",1,1
"DHX38","DHX38",1,1
"ITGAE","ITGAE",1,1
"CNTROB","CNTROB",1,1
"ZNF407","ZNF407",1,1
"UBXN4","UBXN4",1,1
"USP19","USP19",1,1
"GTF3C4","GTF3C4",1,1
"NTRK2","NTRK2",1,1
"SMC1A","SMC1A",1,1
"IPO13","IPO13",1,1
"SNRPN","SNRPN",1,1
"SLC6A16","SLC6A16",1,1
"RUNX1","RUNX1",0.00898203671531538,0.122443903684916
"ALDH8A1","ALDH8A1",1,1
"FAM47A","FAM47A",1,1
"PIGR","PIGR",1,1
"SCARB1","SCARB1",1,1
"CIRBP","CIRBP",0.00243309021823407,0.0780010401590084
"SMC3","SMC3",1,1
"ETS1","ETS1",1,1
"RAB3IL1","RAB3IL1",1,1
"ZFYVE19","ZFYVE19",1,1
"PPP5C","PPP5C",1,1
"BCS1L","BCS1L",1,1
"XKR7","XKR7",1,1
"SLC9A8","SLC9A8",1,1
"NPY1R","NPY1R",1,1
"TRIO","TRIO",1,1
"TRIM23","TRIM23",0.0468137264396199,0.288908808490666
"FER1L6","FER1L6",1,1
"FMR1","FMR1",1,1
"POF1B","POF1B",1,1
"EME1","EME1",1,1
"ANKRD34A","ANKRD34A",1,1
"ZNF669","ZNF669",1,1
"SLAIN1","SLAIN1",1,1
"PPIB","PPIB",0.0169512606037556,0.164297713335437
"ARL6IP6","ARL6IP6",1,1
"JAG1","JAG1",1,1
"LGI1","LGI1",1,1
"DEPDC7","DEPDC7",1,1
"TPP2","TPP2",1,1
"COL4A1","COL4A1",1,1
"KIF7","KIF7",1,1
