"cause","effect"
"BCL2","MAPK11"
"BCL2","MAPK14"
"BCL2","MAPK8"
"BCL2","PIN1"
"BCL2","PPP2CA"
"BCL2","SF1"
"BCL2","TMBIM6"
"BCL2","TOMM20"
"BCL2A1","BAK1"
"BCL2A1","BID"
"BCL2L1","FBP1"
"BCL2L1","GLOD4"
"BCL2L1","RAD9A"
"BCL2L11","BCL2"
"BCL2L11","MAPK8"
"BCL2L11","MAPK9"
"BCL3","GTF2A1"
"BCL3","NFKB2"
"BCL6","BCL6B"
"BCL6","EP300"
"BCL6","HDAC4"
"BCL6","NCOR1"
"BCL6","NCOR2"
"BCL6","RUNX1T1"
"BCL6","SIN3A"
"BCOR","HDAC1"
"BCOR","HDAC4"
"BCR","IGSF21"
"BDKRB2","ACE"
"BDKRB2","ADRBK2"
"BDKRB2","GNA11"
"BDKRB2","NOS3"
"BDKRB2","PTPN11"
"BDNF","CPE"
"BDNF","MBTPS1"
"BDNF","NOS3"
"BDP1","RB1"
"BECN1","BCL2"
"BECN1","XPO1"
"BEGAIN","DTNB"
"BEGAIN","RBL1"
"BEGAIN","TRIM27"
"BEND5","CTNNBIP1"
"BEND5","USP2"
"BEND5","USP7"
"BEND7","EMD"
"BGN","COL4A2"
"BHLHE40","SETDB1"
"BICD2","NEK9"
"BICD2","RAB6A"
"BID","BAK1"
"BID","CSNK1E"
"BID","CSNK2A1"
"BID","CSNK2B"
"BIN1","AP2A2"
"BIN1","ATXN2"
"BIN1","DNM1"
"BIN1","RIN3"
"BIN1","SH3GLB1"
"BIRC2","CASP3"
"BIRC2","CASP7"
"BIRC2","DIABLO"
